SaleID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,TotalAmount
1,2023-10-02,1223,87,36,2,0.1,764.91
2,2023-07-07,912,112,43,3,0.07,967.21
3,2023-01-25,719,65,39,2,0.06,619.5
4,2023-03-25,410,171,2,1,0.23,322.57
5,2023-03-24,611,22,15,3,0.18,560.71
6,2023-10-14,181,136,21,3,0.01,414.17
7,2023-11-09,156,188,45,4,0.07,520.99
8,2023-05-24,650,86,45,5,0.22,929.92
9,2023-08-05,965,70,21,1,0.3,169.97
10,2023-07-20,426,32,1,2,0.18,305.01
11,2023-06-23,1335,50,35,1,0.29,181.85
12,2023-04-03,426,56,7,3,0.23,390.3
13,2023-08-18,122,173,37,3,0.02,285.83
14,2023-06-22,1274,51,39,4,0.13,895.44
15,2023-03-23,1205,112,49,2,0.22,540.81
16,2023-04-12,120,101,27,3,0.2,820.73
17,2023-04-13,67,93,35,2,0.14,415.88
18,2023-03-10,1318,188,48,1,0.23,107.84
19,2023-09-24,1470,4,17,2,0.29,41.31
20,2023-03-20,96,36,18,1,0.05,23.68
21,2023-11-16,1170,133,21,2,0.28,597.37
22,2023-04-30,569,88,28,3,0.27,799.48
23,2023-01-05,69,153,21,1,0.04,423.28
24,2023-03-11,838,18,46,2,0.22,441.64
25,2023-01-09,764,85,29,1,0.27,224.61
26,2023-03-10,816,111,48,1,0.14,304.38
27,2023-06-19,732,179,45,1,0.19,245.74
28,2023-07-25,1487,195,47,1,0.05,163.28
29,2023-10-21,1037,82,35,2,0.16,351.83
30,2023-02-25,308,142,50,1,0.26,86.37
31,2023-04-21,496,30,6,3,0.24,1125.09
32,2023-04-15,595,113,47,4,0.11,879.53
33,2023-01-06,1480,166,29,3,0.05,1314.22
34,2023-04-28,540,157,17,3,0.2,353.26
35,2023-01-12,704,26,19,2,0.23,473.5
36,2023-04-23,501,171,12,1,0.1,377.03
37,2023-04-12,1076,96,3,3,0.03,676.66
38,2023-05-10,684,187,21,2,0.13,442.99
39,2023-07-29,1341,122,17,4,0.07,745.08
40,2023-08-28,1346,141,4,4,0.29,1286.72
41,2023-08-14,866,44,41,5,0.05,2213.64
42,2023-02-04,749,145,24,1,0.02,165.13
43,2023-12-21,504,16,6,3,0.26,60.81
44,2023-03-04,701,181,24,3,0.21,404.91
