InventoryID,ProductID,StoreID,InventoryDate,StockLevel
1,131,8,2023-02-21,4
2,192,25,2023-03-02,100
3,133,19,2023-09-13,81
4,143,30,2023-04-29,40
5,149,39,2023-01-27,31
6,177,48,2023-11-04,39
7,148,20,2023-10-04,68
8,57,44,2023-06-19,54
9,115,29,2023-01-12,37
10,96,15,2023-04-25,4
11,101,36,2023-05-29,13
12,119,27,2023-05-09,7
13,198,19,2023-07-19,38
14,174,28,2023-12-27,85
15,151,13,2023-07-03,17
16,177,5,2023-02-04,89
17,129,31,2023-03-22,33
18,39,44,2023-05-28,48
19,89,24,2023-02-08,19
20,7,12,2023-10-01,35
21,124,1,2023-10-22,43
22,27,44,2023-05-04,52
23,76,32,2023-09-23,9
24,107,44,2023-11-09,67
25,22,7,2023-09-14,46
26,30,26,2023-06-09,9
27,187,29,2023-07-24,63
28,37,34,2023-11-13,39
29,90,43,2023-01-30,94
30,80,44,2023-10-07,38
31,88,6,2023-12-24,52
32,117,8,2023-02-26,2
33,53,10,2023-10-26,3
34,134,26,2023-08-30,36
35,124,26,2023-05-15,41
36,90,45,2023-12-01,23
37,122,38,2023-01-16,91
38,25,7,2023-01-17,11
39,113,48,2023-06-23,17
40,185,11,2023-08-04,67
41,179,5,2023-05-14,77
42,116,24,2023-04-13,76
43,82,13,2023-06-21,12
44,18,22,2023-01-31,46
45,77,13,2023-03-13,14
46,12,39,2023-04-15,12
47,182,26,2023-10-08,33
48,30,8,2023-06-18,98
49,6,15,2023-12-06,42
50,88,28,2023-02-01,40
51,166,47,2023-05-01,15
52,28,32,2023-09-10,23
53,174,18,2023-02-07,73
54,43,49,2023-10-16,27
55,190,46,2023-11-09,74
56,63,50,2023-12-26,10
57,133,38,2023-01-19,29
58,45,38,2023-06-27,6
59,142,18,2023-02-06,35
60,41,49,2023-08-02,39
61,85,42,2023-11-03,97
62,144,26,2023-11-10,70
63,110,23,2023-02-11,96
64,119,31,2023-10-10,69
65,60,43,2023-09-03,10
66,104,39,2023-03-08,91
67,162,26,2023-05-19,70
68,48,32,2023-01-22,73
69,48,33,2023-02-23,88
70,164,18,2023-01-19,69
71,169,10,2023-09-12,38
72,111,50,2023-09-17,70
73,102,30,2023-04-26,84
74,8,7,2023-11-29,38
75,189,8,2023-06-29,12
76,158,17,2023-08-09,51
77,51,32,2023-09-02,96
78,116,32,2023-06-05,5
79,152,15,2023-04-27,39
80,110,41,2023-01-11,53
81,100,9,2023-01-29,11
82,2,2,2023-01-14,84
83,181,7,2023-04-11,42
84,55,48,2023-10-01,34
85,53,4,2023-11-08,94
86,72,5,2023-07-14,6
87,193,32,2023-12-16,17
88,181,44,2023-12-17,8
89,17,2,2023-01-10,12
90,148,12,2023-10-10,75
91,27,25,2023-09-04,0
92,138,39,2023-01-27,13
93,48,44,2023-07-18,61
94,94,21,2023-07-13,5
95,84,10,2023-12-23,60
96,51,20,2023-03-06,46
97,118,40,2023-08-09,51
98,30,40,2023-12-26,69
99,68,7,2023-08-07,13
100,172,49,2023-10-09,33
101,126,5,2023-03-12,20
102,136,43,2023-03-01,75
103,164,49,2023-08-13,71
104,81,34,2023-03-02,31
105,153,50,2023-11-12,10
106,100,32,2023-07-08,42
107,157,30,2023-06-30,21
108,101,13,2023-04-10,23
109,151,19,2023-06-25,83
110,30,43,2023-08-12,72
111,90,32,2023-01-30,89
112,91,32,2023-05-02,13
113,118,33,2023-04-29,80
114,159,17,2023-02-17,2
115,45,35,2023-10-29,60
116,173,22,2023-01-06,27
117,181,35,2023-04-27,93
118,77,35,2023-07-31,90
119,158,2,2023-10-02,16
120,152,49,2023-10-18,21
121,22,3,2023-01-24,94
122,173,28,2023-01-08,87
123,35,8,2023-05-08,65
124,81,25,2023-01-30,30
125,31,29,2023-02-09,52
126,62,21,2023-01-30,0
127,79,25,2023-03-06,87
128,30,29,2023-08-13,66
129,47,30,2023-04-03,34
130,96,3,2023-05-25,73
131,178,3,2023-01-23,93
132,37,12,2023-06-10,99
133,131,36,2023-06-29,24
134,100,43,2023-11-05,63
135,108,50,2023-12-02,70
136,153,20,2023-05-06,30
137,36,46,2023-05-30,7
138,148,11,2023-03-08,55
139,99,32,2023-11-07,27
140,109,28,2023-07-23,78
141,48,9,2023-09-03,85
142,125,20,2023-12-03,49
143,163,46,2023-03-04,24
144,138,25,2023-12-03,67
145,178,32,2023-02-09,37
146,166,49,2023-02-09,44
147,45,8,2023-05-09,17
148,143,37,2023-10-06,51
149,43,44,2023-04-16,75
150,126,32,2023-09-11,52
151,74,43,2023-12-28,74
152,36,36,2023-07-02,36
153,48,44,2023-04-23,34
154,81,35,2023-08-16,31
155,116,37,2023-06-04,78
156,159,31,2023-07-07,15
157,14,31,2023-10-10,90
158,92,36,2023-05-30,53
159,3,11,2023-12-01,32
160,125,33,2023-05-06,82
161,35,4,2023-09-27,77
162,50,26,2023-05-17,63
163,99,17,2023-06-13,0
164,144,32,2023-12-24,14
165,130,38,2023-10-05,51
166,168,25,2023-09-15,75
167,127,40,2023-02-23,24
168,105,44,2023-01-28,95
169,176,23,2023-06-27,32
170,126,50,2023-07-30,88
171,107,19,2023-12-28,16
172,182,21,2023-11-15,73
173,114,4,2023-09-06,23
174,126,2,2023-05-24,82
175,43,38,2023-02-10,74
176,22,3,2023-04-15,15
177,145,9,2023-03-12,85
178,8,24,2023-09-24,31
179,195,23,2023-04-29,16
180,57,48,2023-06-06,91
181,75,38,2023-10-11,5
182,9,2,2023-04-18,29
183,71,49,2023-03-04,31
184,58,41,2023-07-10,95
185,138,22,2023-03-14,5
186,74,25,2023-01-19,93
187,44,7,2023-05-01,9
188,200,28,2023-12-24,87
189,118,23,2023-08-14,50
190,145,23,2023-11-29,17
191,191,27,2023-08-21,27
192,198,23,2023-02-28,35
193,197,4,2023-01-11,14
